,Player,Year,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
1076,Stefan Frei,2014,SEA,GK,34,34,3060,149,99,50,1.47,6/7,20,10,4,9,59,66
1077,Steve Clark,2014,CLB,GK,34,34,3060,153,111,42,1.24,2/4,14,10,10,8,41,73
1078,Dan Kennedy,2014,CHV,GK,33,33,2957,155,93,57,1.73,3/4,9,18,6,6,27,60
1079,Sean Johnson,2014,CHI,GK,33,33,2970,149,96,49,1.48,6/8,6,9,18,6,18,64
1080,Bobby Shuttleworth,2014,NE,GK,32,32,2880,141,94,40,1.25,2/4,16,12,4,8,50,67
1081,Donovan Ricketts,2014,POR,GK,32,32,2861,151,105,44,1.38,7/7,12,7,12,7,38,70
1082,Bill Hamid,2014,DC,GK,30,30,2700,146,110,34,1.13,5/5,14,9,7,10,47,75
1083,Jaime Penedo,2014,LA,GK,29,29,2610,115,81,33,1.14,3/3,15,7,7,8,52,70
1084,Zac MacMath,2014,PHI,GK,29,29,2610,125,77,45,1.55,4/7,9,10,10,5,31,62
1085,Joe Bendik,2014,TOR,GK,27,27,2430,125,82,45,1.67,4/5,8,11,8,4,30,66
1086,Clint Irwin,2014,COL,GK,26,25,2336,125,73,49,1.89,6/7,7,15,4,7,27,58
1087,Nick Rimando,2014,RSL,GK,24,24,2160,97,71,25,1.04,1/5,13,4,7,7,54,73
1088,Tally Hall,2014,HOU,GK,24,24,2150,115,67,44,1.84,7/8,8,12,4,7,33,58
1089,Troy Perkins,2014,MTL,GK,21,21,1890,102,66,35,1.67,4/5,4,12,5,5,19,65
1090,Eric Kronberg,2014,KC,GK,20,20,1800,73,45,22,1.1,5/5,7,8,5,7,35,62
1091,Raul Fernandez,2014,DAL,GK,21,20,1818,95,66,25,1.24,3/4,9,8,3,4,43,69
1092,Chris Seitz,2014,DAL,GK,14,14,1242,67,44,20,1.45,0/1,7,4,3,2,50,66
1093,Evan Bush,2014,MTL,GK,13,13,1170,79,52,23,1.77,2/2,2,6,5,3,15,66
1094,Andy Gruenebaum,2014,KC,GK,11,11,945,45,34,12,1.14,1/1,6,3,2,3,55,76
1095,Jeff Attinella,2014,RSL,GK,10,10,900,60,45,14,1.4,3/5,2,4,4,3,20,75
1096,Tyler Deric,2014,HOU,GK,11,10,910,53,36,14,1.38,2/3,3,5,2,3,27,68
1097,Julio Cesar,2014,TOR,GK,7,7,630,27,18,9,1.29,2/2,3,4,0,2,43,67
1098,John Berner,2014,COL,GK,5,5,450,12,6,6,1.2,0/0,1,1,3,2,20,50
1099,Andrew Dykstra,2014,DC,GK,4,4,360,9,6,3,0.75,0/1,3,0,1,2,75,67
1100,Joe Nasco,2014,COL,GK,4,4,271,19,13,7,2.32,0/0,0,2,1,0,0,68
1101,Rais Mbolhi,2014,PHI,GK,4,4,360,13,7,4,1.0,0/0,1,1,2,1,25,54
1102,Brian Rowe,2014,LA,GK,3,3,270,13,10,3,1.0,0/0,1,0,2,1,33,77
1103,Jon Kempin,2014,KC,GK,4,3,315,13,5,7,2.0,0/1,1,2,0,0,25,38
1104,Andrew Weber,2014,POR,GK,3,2,198,16,8,8,3.64,2/3,0,2,1,0,0,50
1105,Brad Knighton,2014,NE,GK,2,2,180,12,6,6,3.0,1/1,1,1,0,0,50,50
1106,Brian Perk,2014,LA,GK,2,2,180,3,2,1,0.5,0/0,1,0,1,1,50,67
1107,Andre Blake,2014,PHI,GK,1,1,90,8,7,2,2.0,0/0,0,1,0,0,0,88
1108,Kyle Reynish,2014,CHI,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0,50
1109,Tim Melia,2014,CHV,GK,2,1,79,4,1,3,3.42,0/0,0,1,0,0,0,25
1110,Alec Kann,2014,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1111,Billy Knutsen,2014,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1112,Brad Stuver,2014,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1113,Brian Holt,2014,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1114,Bryan Meredith,2014,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1115,Chris Konopka,2014,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1116,David Bingham,2014,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1117,Eduardo Fernandez,2014,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1118,Jake Gleeson,2014,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1119,Jesse Gonzalez,2014,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1120,Joe Willis,2014,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1121,Josh Ford,2014,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1122,Larry Jackson,2014,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1123,Billy Knutsen,2014,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1124,Brad Stuver,2014,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1125,Brian Holt,2014,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1126,Bryan Meredith,2014,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1127,Chris Konopka,2014,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1128,David Bingham,2014,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1129,Eduardo Fernandez,2014,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1130,Jake Gleeson,2014,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1131,Jesse Gonzalez,2014,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1132,Joe Willis,2014,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1133,Josh Ford,2014,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1134,Larry Jackson,2014,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1135,Luis Soffner,2014,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1136,Marco Carducci,2014,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1137,Marcus Hahnemann,2014,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1138,Matt Lampson,2014,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1139,Matt Pickens,2014,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1140,Maxime Crepeau,2014,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1141,Michael Lisch,2014,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1142,Paolo Tornaghi,2014,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1143,Quillan Roberts,2014,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1144,Richard Sanchez,2014,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1145,Ryan Meara,2014,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1146,Santiago Castano,2014,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
1147,Trevor Spangenberg,2014,CHV,GK,1,0,22,2,1,1,4.09,1/1,0,0,0,0,0,50
