,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
60,Mark Semioli,1996,LA,D,28,27,2475,3,2,21,14,0,0/0,0,3,0.11,14.3
61,Shawn Medved,1996,DC,M,27,13,1171,3,1,17,12,1,0/0,2,1,0.23,17.6
62,Jeff Baicher,1996,SJ,M,30,28,2180,3,1,28,12,2,0/0,2,1,0.12,10.7
63,Alan Prampin,1996,KC,F,15,2,337,3,0,11,4,0,0/0,1,2,0.8,27.3
64,Robert Warzycha,1996,CLB,M,20,20,1747,2,11,45,17,0,0/0,1,1,0.1,4.4
65,Billy Thompson,1996,CLB,M,24,24,2074,2,8,21,9,0,0/0,1,1,0.09,9.5
66,Ben Iroha,1996,SJ,M,29,24,2194,2,8,34,20,0,0/0,2,0,0.08,5.9
67,Diego Sonora,1996,DAL,M-D,31,31,2720,2,7,23,13,0,0/0,1,1,0.07,8.7
68,Roy Wegerle,1996,COL,F,22,16,1458,2,6,28,14,0,0/0,1,1,0.12,7.1
69,Ted Eck,1996,DAL,M-F,26,16,1564,2,6,24,15,0,0/0,0,2,0.12,8.3
70,Guillermo Jara,1996,LA,M,21,6,811,2,4,28,8,0,0/0,0,2,0.22,7.1
71,Frank Klopas,1996,KC,F,22,16,1235,2,4,24,7,1,0/0,2,0,0.15,8.3
72,Troy Dayak,1996,SJ,D,25,25,2232,2,3,20,8,0,0/0,2,0,0.08,10.0
73,Cle Kooiman,1996,TB,D,27,27,2394,2,3,4,3,1,0/0,2,0,0.08,50.0
74,Richard Sharpe,1996,COL,F,17,7,681,2,2,27,15,0,0/0,1,1,0.26,7.4
75,Imad Baba,1996,NE,M,11,8,736,2,2,19,9,0,0/0,0,2,0.24,10.5
76,Arash Noamouz,1996,LA,D,12,11,852,2,2,6,4,1,0/0,2,0,0.21,33.3
77,Jose Vasquez,1996,LA,D,14,11,876,2,2,26,13,0,0/0,2,0,0.21,7.7
78,Goran Hunjak,1996,TB,M,21,15,1412,2,2,17,9,1,0/0,1,1,0.13,11.8
79,Robert Ukrop,1996,NE,F,9,8,634,2,1,14,8,0,0/0,0,2,0.28,14.3
80,Eddie Pope,1996,DC,D,18,18,1575,2,1,12,4,1,0/0,2,0,0.11,16.7
81,Jorge Salcedo,1996,LA,M,29,22,2060,2,1,11,7,1,0/0,1,1,0.09,18.2
82,Scott Uderitz,1996,KC,D,28,24,2117,2,1,10,6,0,0/0,1,1,0.09,20.0
83,Lawrence Lozzano,1996,DAL,M,31,31,2688,2,1,25,15,1,0/0,0,2,0.07,8.0
