,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
2007,Kelly Gray,2002,CHI,D-M,25,20,1780,2,5,18,7,1,0/0,1,1,0.1,11.1
2008,Sasha Victorine,2002,LA,M,25,22,1985,2,5,25,8,1,0/0,2,0,0.09,8.0
2009,Diego Serna,2002,NE,F,13,10,944,2,4,34,14,1,0/0,2,0,0.19,5.9
2010,Hristo Stoitchkov,2002,CHI,F,16,6,693,2,3,39,18,0,0/1,1,1,0.26,5.1
2011,Carlos Bocanegra,2002,CHI,D,26,26,2291,2,3,16,9,1,0/0,1,1,0.08,12.5
2012,Ronnie O'Brien,2002,DAL,M,11,4,506,2,2,15,10,1,0/0,2,0,0.36,13.3
2013,Eliseo Quintanilla,2002,DC,F-M,9,9,726,2,2,19,11,0,0/0,0,2,0.25,10.5
2014,Alex Pineda Chacon,2002,NE,M,20,9,1014,2,2,20,9,0,0/0,1,1,0.18,10.0
2015,Ross Paule,2002,MET,M,26,26,2207,2,2,29,11,0,1/1,1,1,0.08,6.9
2016,Leo Cullen,2002,NE,M,28,27,2444,2,2,10,6,0,0/0,2,0,0.07,20.0
2017,Eddie Johnson,2002,DAL,F,11,2,326,2,1,11,4,1,0/0,0,2,0.55,18.2
2018,Mark Lisi,2002,MET,M,23,6,874,2,1,7,5,0,0/0,0,2,0.21,28.6
2019,Eddie Robinson,2002,SJ,D,19,16,1427,2,1,11,5,0,0/0,1,1,0.13,18.2
2020,Amos Magee,2002,CHI,F,5,3,197,2,0,4,2,0,0/0,2,0,0.91,50.0
2021,Jim Curtin,2002,CHI,D,24,22,2121,2,0,12,6,1,0/0,2,0,0.08,16.7
2022,Carlos Valderrama,2002,COL,M,27,27,2479,1,16,18,8,0,0/0,1,0,0.04,5.6
2023,Simon Elliott,2002,LA,M,26,26,2347,1,10,40,11,0,0/0,0,1,0.04,2.5
2024,Joselito Vaca,2002,DAL,M,25,23,2005,1,9,44,20,0,0/0,0,1,0.04,2.3
2025,Brian West,2002,CLB,M-F,24,22,1944,1,8,32,11,1,0/0,0,1,0.05,3.1
2026,Dema Kovalenko,2002,CHI,M,23,23,2034,1,8,38,12,0,0/0,1,0,0.04,2.6
2027,Richard Mulrooney,2002,SJ,M,26,26,2312,1,8,22,5,0,0/0,1,0,0.04,4.5
2028,Jesse Marsch,2002,CHI,M,28,28,2557,1,7,21,6,0,0/0,1,0,0.04,4.8
2029,Oscar Pareja,2002,DAL,M,24,23,2000,1,6,31,15,0,0/0,1,0,0.05,3.2
2030,Brian Maisonneuve,2002,CLB,M,26,26,2238,1,6,29,9,1,0/0,1,0,0.04,3.4
2031,Wade Barrett,2002,SJ,D,28,28,2555,1,6,9,5,0,0/0,1,0,0.04,11.1
2032,Joe Franchino,2002,NE,M,23,23,2015,1,5,16,4,0,0/0,0,1,0.04,6.3
2033,Gavin Glinton,2002,LA,F,22,6,790,1,4,19,10,1,0/0,0,1,0.11,5.3
2034,John Wilmar Perez,2002,CLB,M,20,13,1256,1,4,21,6,0,0/0,0,1,0.07,4.8
2035,Eric Denton,2002,CLB,D,23,22,1875,1,4,8,4,1,0/0,1,0,0.05,12.5
2036,Chad Deering,2002,DAL,M,27,22,2168,1,4,24,4,0,0/0,0,1,0.04,4.2
2037,Diego Gutierrez,2002,KC,D,22,21,1914,1,3,25,4,0,0/0,1,0,0.05,4.0
2038,Jimmy Conrad,2002,SJ,D,25,25,2248,1,3,13,6,1,0/0,1,0,0.04,7.7
2039,Winston Griffiths,2002,NE,M,17,10,755,1,2,14,6,0,0/0,0,1,0.12,7.1
2040,Matt McKeon,2002,KC,D,23,10,1146,1,2,12,5,0,0/0,1,0,0.08,8.3
2041,Chad McCarty,2002,CLB,D,18,13,1176,1,2,5,1,0,0/0,0,1,0.08,20.0
2042,Jim Rooney,2002,NE,M,20,20,1715,1,2,19,5,0,0/0,0,1,0.05,5.3
2043,Ivan McKinley,2002,DC,D-M,23,23,1786,1,2,20,7,1,0/0,1,0,0.05,5.0
2044,Ryan Suarez,2002,DAL,D,24,24,2061,1,2,19,10,0,0/0,0,1,0.04,5.3
2045,Kerry Zavagnin,2002,KC,M,27,27,2484,1,2,12,5,0,0/0,0,1,0.04,8.3
2046,David Vaudreuil,2002,CHI,D,17,14,1280,1,1,4,2,1,0/0,1,0,0.07,25.0
2047,Eddie Pope,2002,DC,D,17,16,1471,1,1,11,3,1,0/0,1,0,0.06,9.1
2048,Steve Jolley,2002,MET,D,27,26,2327,1,1,7,3,1,0/0,0,1,0.04,14.3
2049,John Wilson,2002,NE,D,1,0,16,1,0,1,1,0,0/0,1,0,5.63,100.0
2050,John Wolyniec,2002,CHI,F,2,2,180,1,0,3,3,0,0/0,1,0,0.5,33.3
2051,Henry Zambrano,2002,DC,F,5,3,240,1,0,10,4,0,0/0,1,0,0.38,10.0
2052,Abdul Thompson Conteh,2002,DC,F,5,5,286,1,0,9,4,0,0/0,1,0,0.31,11.1
2053,Jason Moore,2002,CHI,M,10,2,314,1,0,3,2,0,0/0,0,1,0.29,33.3
2054,Sergi Daniv,2002,CHI,M,8,5,480,1,0,6,3,1,0/0,0,1,0.19,16.7
2055,Daouda Kante,2002,NE,D,8,8,729,1,0,1,1,1,0/0,0,1,0.12,100.0
2056,Mike Clark,2002,CLB,D,21,19,1599,1,0,7,6,0,0/0,0,1,0.06,14.3
2057,Danny Califf,2002,LA,D,25,23,2118,1,0,15,4,0,0/0,0,1,0.04,6.7
2058,Ted Chronopoulos,2002,MET,D,23,21,1877,0,6,10,4,0,0/0,0,0,0.0,0.0
2059,Raul Palacios,2002,COL,M,16,8,836,0,5,12,2,0,0/0,0,0,0.0,0.0
2060,Tyrone Marshall,2002,LA,D,24,19,1838,0,5,9,5,0,0/0,0,0,0.0,0.0
2061,Francisco Gomez,2002,KC,M,20,13,1249,0,4,31,8,0,0/0,0,0,0.0,0.0
2062,Duncan Oughton,2002,CLB,D,20,17,1608,0,4,15,7,0,0/0,0,0,0.0,0.0
2063,Paul Broome,2002,DAL,M,25,25,2315,0,4,4,3,0,0/0,0,0,0.0,0.0
2064,Ian Fuller,2002,NE,F,11,5,446,0,3,5,2,0,0/0,0,0,0.0,0.0
2065,Tab Ramos,2002,MET,M,14,12,926,0,3,11,7,0,0/0,0,0,0.0,0.0
2066,Pablo Mastroeni,2002,COL,M,15,15,1329,0,3,4,2,0,0/0,0,0,0.0,0.0
2067,Peter Vagenas,2002,LA,M,17,16,1390,0,3,4,1,0,0/0,0,0,0.0,0.0
2068,Jeff Moore,2002,MET,M,18,17,1482,0,3,5,2,0,0/0,0,0,0.0,0.0
2069,Jeff Stewart,2002,COL,D,23,20,1723,0,3,6,3,0,0/0,0,0,0.0,0.0
2070,C.J. Brown,2002,CHI,D,24,24,2153,0,3,6,3,0,0/0,0,0,0.0,0.0
2071,Richie Williams,2002,DC,M,26,25,2307,0,3,8,6,0,0/0,0,0,0.0,0.0
2072,Freddy Garcia,2002,CLB,M,5,1,215,0,2,7,2,0,0/0,0,0,0.0,0.0
2073,Robert Warzycha,2002,CLB,M,15,3,495,0,2,6,1,0,0/0,0,0,0.0,0.0
2074,Alejandro Moreno,2002,LA,F,12,7,561,0,2,14,7,0,0/0,0,0,0.0,0.0
2075,John Harkes,2002,CLB,M,11,7,739,0,2,3,1,0,0/0,0,0,0.0,0.0
2076,Ian Russell,2002,SJ,D,24,15,1348,0,2,14,6,0,0/0,0,0,0.0,0.0
2077,Ritchie Kotschau,2002,COL,D,23,19,1757,0,2,18,6,0,0/0,0,0,0.0,0.0
2078,Wes Hart,2002,COL,D-M,27,25,2063,0,2,18,6,0,0/0,0,0,0.0,0.0
2079,Milton Reyes,2002,DC,D-M,24,24,2204,0,2,9,3,0,0/0,0,0,0.0,0.0
2080,Nick Garcia,2002,KC,D,27,27,2499,0,2,2,0,0,0/0,0,0,0.0,0.0
2081,Todd Yeagley,2002,CLB,M,3,1,74,0,1,0,0,0,0/0,0,0,0.0,0.0
2082,Marvin Quijano,2002,COL,F,6,0,77,0,1,2,1,0,0/0,0,0,0.0,0.0
2083,Hamisi Amani-Dove,2002,DAL,F,6,0,101,0,1,6,1,0,0/0,0,0,0.0,0.0
2084,Carl Bussey,2002,DAL,M,9,1,184,0,1,3,1,0,0/0,0,0,0.0,0.0
2085,Chris Armas,2002,CHI,M,4,4,347,0,1,1,1,0,0/0,0,0,0.0,0.0
2086,Jesus Ochoa,2002,LA,M,9,4,352,0,1,7,2,0,0/0,0,0,0.0,0.0
2087,Kyle Beckerman,2002,COL,M,14,5,477,0,1,11,4,0,0/0,0,0,0.0,0.0
2088,Braeden Cloutier,2002,NE,M,11,7,608,0,1,6,1,0,0/0,0,0,0.0,0.0
2089,Carlos Semedo,2002,NE,D,9,8,631,0,1,1,0,0,0/0,0,0,0.0,0.0
2090,Ben Olsen,2002,DC,M,10,7,718,0,1,12,8,0,0/0,0,0,0.0,0.0
2091,Billy Walsh,2002,CHI,M,13,9,776,0,1,3,0,0,0/0,0,0,0.0,0.0
2092,Billy Sleeth,2002,CHI,D,13,7,799,0,1,2,1,0,0/0,0,0,0.0,0.0
2093,Chris Albright,2002,LA,D,15,9,814,0,1,24,12,0,0/0,0,0,0.0,0.0
2094,Craig Waibel,2002,LA,D,12,9,860,0,1,7,3,0,0/0,0,0,0.0,0.0
2095,Jose Alegria,2002,DC,M,14,11,900,0,1,19,11,0,0/0,0,0,0.0,0.0
2096,Joseph Addo,2002,MET,D,15,10,918,0,1,2,1,0,0/0,0,0,0.0,0.0
2097,Eric Quill,2002,KC,F,16,13,992,0,1,24,10,0,0/0,0,0,0.0,0.0
2098,Carlos Llamosa,2002,NE,D,14,13,1056,0,1,1,0,0,0/0,0,0,0.0,0.0
2099,Zak Ibsen,2002,SJ,M,17,10,1077,0,1,4,1,0,0/0,0,0,0.0,0.0
2100,Troy Dayak,2002,SJ,D,15,14,1235,0,1,5,2,0,0/0,0,0,0.0,0.0
2101,Tom Presthus,2002,CLB,GK,15,15,1365,0,1,0,0,0,0/0,0,0,0.0,0.0
2102,Tony Meola,2002,KC,GK,17,17,1519,0,1,0,0,0,0/0,0,0,0.0,0.0
2103,Mike Burns,2002,KC,M,24,21,1966,0,1,4,1,0,0/0,0,0,0.0,0.0
2104,Daniel Torres,2002,CLB,D,25,23,2085,0,1,3,1,0,0/0,0,0,0.0,0.0
2105,Rick Titus,2002,COL,D,25,25,2202,0,1,5,3,0,0/0,0,0,0.0,0.0
2106,Brian Dunseth,2002,CLB,D,27,26,2436,0,1,7,4,0,0/0,0,0,0.0,0.0
2107,Robin Fraser,2002,COL,D,28,27,2453,0,1,4,0,0,0/0,0,0,0.0,0.0
2108,Tim Howard,2002,MET,GK,27,27,2463,0,1,0,0,0,0/0,0,0,0.0,0.0
2109,Bryheem Hancock,2002,DAL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2110,Chris Wanamaker,2002,CLB,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2111,Dan Sirota,2002,LA,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2112,David Hayes,2002,CHI,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2113,Dmitri Strunkin,2002,NE,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2114,Greg Sutton,2002,DAL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2115,Jeff Cassar,2002,MET,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2116,Jon Lowery,2002,SJ,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2117,Jose Burciaga Jr.,2002,KC,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2118,Josh Lynk,2002,DAL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2119,Josue Mayard,2002,KC,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2120,Leighton O'Brien,2002,SJ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2121,Leo Krupnik,2002,MET,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2122,Marshall Leonard,2002,NE,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2123,Martin Klinger,2002,MET,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2124,Matt Napoleon,2002,COL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2125,McKinley Tennyson,2002,LA,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2126,Michael Ueltschey,2002,COL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2127,Miguel Saavedra,2002,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2128,Mike McGinty,2002,DC,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2129,Rich Cullen,2002,COL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2130,Scott Bower,2002,SJ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2131,Scott Powers,2002,NE,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2132,Scott Vallow,2002,DAL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2133,Taly Goode,2002,KC,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2134,Tony Frias,2002,NE,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
2135,Brian Piesner,2002,MET,M,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0
2136,Dipsy Selolwane,2002,CHI,F,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0
2137,Steve Shak,2002,COL,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0
2138,Marcelo Balboa,2002,MET,D,1,0,5,0,0,0,0,0,0/0,0,0,0.0,0.0
2139,Jeff Matteo,2002,CLB,M,1,0,14,0,0,0,0,0,0/0,0,0,0.0,0.0
2140,Danny Jackson,2002,COL,D,1,0,15,0,0,0,0,0,0/0,0,0,0.0,0.0
2141,Aleksey Korol,2002,CHI,F,1,0,22,0,0,0,0,0,0/0,0,0,0.0,0.0
2142,Alex Bengard,2002,LA,M,4,0,26,0,0,1,1,0,0/0,0,0,0.0,0.0
2143,Justin Mapp,2002,DC,M,3,0,28,0,0,0,0,0,0/0,0,0,0.0,0.0
2144,Chris Roner,2002,SJ,M,4,0,29,0,0,0,0,0,0/0,0,0,0.0,0.0
2145,Dennis Ludwig,2002,DC,F,2,0,30,0,0,2,1,0,0/0,0,0,0.0,0.0
2146,Musa Shannon,2002,COL,M-F,1,0,30,0,0,1,0,0,0/0,0,0,0.0,0.0
2147,Davy Arnaud,2002,KC,M,3,0,43,0,0,2,1,0,0/0,0,0,0.0,0.0
2148,Seth Trembly,2002,COL,M-D,4,0,43,0,0,1,0,0,0/0,0,0,0.0,0.0
2149,Luchi Gonzalez,2002,SJ,F,8,0,47,0,0,0,0,0,0/0,0,0,0.0,0.0
2150,Darin Lewis,2002,MET,F,3,1,48,0,0,0,0,0,0/0,0,0,0.0,0.0
2151,Mike Nugent,2002,CHI,F,4,0,54,0,0,3,1,0,0/0,0,0,0.0,0.0
2152,Dustin Sheppard,2002,MET,F,2,0,64,0,0,0,0,0,0/0,0,0,0.0,0.0
2153,Johnny Torres,2002,CHI,F,2,0,73,0,0,2,0,0,0/0,0,0,0.0,0.0
2154,Henry Ring,2002,CHI,GK,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0
2155,Jordan Stone,2002,DAL,M,4,1,91,0,0,0,0,0,0/0,0,0,0.0,0.0
2156,Paul Grafer,2002,MET,GK,2,1,91,0,0,0,0,0,0/0,0,0,0.0,0.0
2157,Craig Capano,2002,CHI,M,4,1,92,0,0,2,0,0,0/0,0,0,0.0,0.0
2158,D.J. Countess,2002,DAL,GK,1,1,100,0,0,0,0,0,0/0,0,0,0.0,0.0
2159,Lee Morrison,2002,DAL,D,3,1,103,0,0,1,0,0,0/0,0,0,0.0,0.0
2160,Barry Alvarez,2002,MET,M-F,8,0,119,0,0,3,1,0,0/0,0,0,0.0,0.0
2161,Evan Whitfield,2002,CHI,D,2,2,138,0,0,0,0,0,0/0,0,0,0.0,0.0
2162,Shaker Asad,2002,NE,M,6,1,140,0,0,3,2,0,0/0,0,0,0.0,0.0
2163,Mike Lapper,2002,CLB,D,4,1,141,0,0,0,0,0,0/0,0,0,0.0,0.0
2164,Chris Brunt,2002,KC,D,5,2,158,0,0,2,1,0,0/0,0,0,0.0,0.0
2165,Gary Glasgow,2002,KC,F,3,2,174,0,0,1,0,0,0/0,0,0,0.0,0.0
2166,Jon Conway,2002,SJ,GK,3,2,181,0,0,0,0,0,0/0,0,0,0.0,0.0
2167,Matt Behncke,2002,DAL,D,3,2,190,0,0,1,1,0,0/0,0,0,0.0,0.0
2168,Birahim Diop,2002,MET,M,4,3,228,0,0,0,0,0,0/0,0,0,0.0,0.0
2169,Percy Olivares,2002,DAL,M,6,2,251,0,0,3,0,0,0/0,0,0,0.0,0.0
2170,Devin Barclay,2002,SJ,F,12,2,321,0,0,2,1,0,0/0,0,0,0.0,0.0
2171,Nelson Akwari,2002,MET,D,7,3,325,0,0,2,0,0,0/0,0,0,0.0,0.0
2172,Sam Forko,2002,MET,D,9,3,356,0,0,1,1,0,0/0,0,0,0.0,0.0
2173,Bryan Namoff,2002,DC,D,11,5,442,0,0,1,0,0,0/0,0,0,0.0,0.0
2174,Imad Baba,2002,COL,M,10,4,443,0,0,5,3,0,0/0,0,0,0.0,0.0
2175,Roy Lassiter,2002,DC,F,14,4,501,0,0,5,2,0,0/0,0,0,0.0,0.0
2176,Richard Farrer,2002,DAL,D,8,7,508,0,0,4,1,0,0/0,0,0,0.0,0.0
2177,Nick Downing,2002,NE,D,12,5,667,0,0,1,1,0,0/0,0,0,0.0,0.0
2178,Jeff Agoos,2002,SJ,D,12,9,839,0,0,7,3,0,0/0,0,0,0.0,0.0
2179,Stephen Herdsman,2002,COL,D,13,9,858,0,0,2,1,0,0/0,0,0,0.0,0.0
2180,Matt Reis,2002,LA,GK,11,10,929,0,0,0,0,0,0/0,0,0,0.0,0.0
2181,Adam Frye,2002,LA,D,20,10,956,0,0,5,2,0,0/0,0,0,0.0,0.0
2182,Chris Leitch,2002,CLB,D,13,11,989,0,0,2,2,0,0/0,0,0,0.0,0.0
2183,Lazo Alavanja,2002,DC,M,17,10,1001,0,0,13,5,0,0/0,0,0,0.0,0.0
2184,Juergen Sommer,2002,NE,GK,12,12,1090,0,0,0,0,0,0/0,0,0,0.0,0.0
2185,Bo Oshoniyi,2002,KC,GK,13,11,1096,0,0,0,0,0,0/0,0,0,0.0,0.0
2186,Rusty Pierce,2002,NE,D,14,13,1161,0,0,5,0,0,0/0,0,0,0.0,0.0
2187,Orlando Perez,2002,CHI,D,21,11,1174,0,0,7,2,0,0/0,0,0,0.0,0.0
2188,Peter Vermes,2002,KC,D,13,13,1181,0,0,0,0,0,0/0,0,0,0.0,0.0
2189,David Kramer,2002,COL,GK,13,13,1195,0,0,0,0,0,0/0,0,0,0.0,0.0
2190,Jon Busch,2002,CLB,GK,14,13,1236,0,0,0,0,0,0/0,0,0,0.0,0.0
2191,Scott Garlick,2002,COL,GK,15,15,1374,0,0,0,0,0,0/0,0,0,0.0,0.0
2192,Adin Brown,2002,NE,GK,16,16,1460,0,0,0,0,0,0/0,0,0,0.0,0.0
2193,Craig Ziadie,2002,MET,D,21,18,1637,0,0,3,0,0,0/0,0,0,0.0,0.0
2194,Kevin Hartman,2002,LA,GK,18,18,1648,0,0,0,0,0,0/0,0,0,0.0,0.0
2195,Tenywa Bonseu,2002,DAL,D,27,27,2370,0,0,6,2,0,0/0,0,0,0.0,0.0
2196,Joe Cannon,2002,SJ,GK,26,26,2375,0,0,0,0,0,0/0,0,0,0.0,0.0
2197,Brandon Prideaux,2002,DC,D,27,26,2389,0,0,3,1,0,0/0,0,0,0.0,0.0
2198,Mike Petke,2002,MET,D,27,27,2398,0,0,8,2,0,0/0,0,0,0.0,0.0
2199,Zach Thornton,2002,CHI,GK,27,27,2483,0,0,0,0,0,0/0,0,0,0.0,0.0
2200,Nick Downing,2002,NE,D,12,5,667,0,0,1,1,0,0/0,0,0,0.0,0.0
2201,Jeff Agoos,2002,SJ,D,12,9,839,0,0,7,3,0,0/0,0,0,0.0,0.0
2202,Stephen Herdsman,2002,COL,D,13,9,858,0,0,2,1,0,0/0,0,0,0.0,0.0
2203,Matt Reis,2002,LA,GK,11,10,929,0,0,0,0,0,0/0,0,0,0.0,0.0
2204,Adam Frye,2002,LA,D,20,10,956,0,0,5,2,0,0/0,0,0,0.0,0.0
2205,Chris Leitch,2002,CLB,D,13,11,989,0,0,2,2,0,0/0,0,0,0.0,0.0
2206,Lazo Alavanja,2002,DC,M,17,10,1001,0,0,13,5,0,0/0,0,0,0.0,0.0
2207,Juergen Sommer,2002,NE,GK,12,12,1090,0,0,0,0,0,0/0,0,0,0.0,0.0
2208,Bo Oshoniyi,2002,KC,GK,13,11,1096,0,0,0,0,0,0/0,0,0,0.0,0.0
2209,Rusty Pierce,2002,NE,D,14,13,1161,0,0,5,0,0,0/0,0,0,0.0,0.0
2210,Orlando Perez,2002,CHI,D,21,11,1174,0,0,7,2,0,0/0,0,0,0.0,0.0
2211,Peter Vermes,2002,KC,D,13,13,1181,0,0,0,0,0,0/0,0,0,0.0,0.0
2212,David Kramer,2002,COL,GK,13,13,1195,0,0,0,0,0,0/0,0,0,0.0,0.0
2213,Jon Busch,2002,CLB,GK,14,13,1236,0,0,0,0,0,0/0,0,0,0.0,0.0
2214,Scott Garlick,2002,COL,GK,15,15,1374,0,0,0,0,0,0/0,0,0,0.0,0.0
2215,Adin Brown,2002,NE,GK,16,16,1460,0,0,0,0,0,0/0,0,0,0.0,0.0
2216,Craig Ziadie,2002,MET,D,21,18,1637,0,0,3,0,0,0/0,0,0,0.0,0.0
2217,Kevin Hartman,2002,LA,GK,18,18,1648,0,0,0,0,0,0/0,0,0,0.0,0.0
2218,Tenywa Bonseu,2002,DAL,D,27,27,2370,0,0,6,2,0,0/0,0,0,0.0,0.0
2219,Joe Cannon,2002,SJ,GK,26,26,2375,0,0,0,0,0,0/0,0,0,0.0,0.0
2220,Brandon Prideaux,2002,DC,D,27,26,2389,0,0,3,1,0,0/0,0,0,0.0,0.0
2221,Mike Petke,2002,MET,D,27,27,2398,0,0,8,2,0,0/0,0,0,0.0,0.0
2222,Zach Thornton,2002,CHI,GK,27,27,2483,0,0,0,0,0,0/0,0,0,0.0,0.0
2223,Matt Jordan,2002,DAL,GK,27,27,2511,0,0,0,0,0,0/0,0,0,0.0,0.0
2224,Nick Rimando,2002,DC,GK,28,28,2588,0,0,0,0,0,0/0,0,0,0.0,0.0
2225,Carlos Ruiz,2003,LA,F,26,25,2330,15,5,84,51,5,7/8,11,4,0.58,17.9
2226,Taylor Twellman,2003,NE,F,22,20,1893,15,4,90,47,3,0/1,7,8,0.71,16.7
2227,Ante Razov,2003,CHI,F,26,25,2269,14,6,119,67,4,5/6,8,6,0.56,11.8
2228,John Spencer,2003,COL,F,27,25,2264,14,5,81,37,5,4/5,7,7,0.56,17.3
2229,Preki,2003,KC,M,30,30,2678,12,17,92,34,1,5/6,6,6,0.4,13.0
2230,Landon Donovan,2003,SJ,M-F,22,21,1882,12,6,53,30,5,1/1,5,7,0.57,22.6
2231,Brian McBride,2003,CLB,F,24,23,2183,12,3,68,34,4,2/2,6,6,0.49,17.6
2232,Damani Ralph,2003,CHI,F,25,22,1982,11,6,91,36,4,1/1,4,7,0.5,12.1
2233,Mark Chung,2003,COL,M,29,29,2639,11,6,78,39,3,0/0,8,3,0.38,14.1
2234,Pat Noonan,2003,NE,F,28,17,1642,10,7,44,24,3,0/0,4,6,0.55,22.7
2235,Edson Buddle,2003,CLB,F,21,16,1509,10,4,59,26,1,0/0,6,4,0.6,16.9
2236,Clint Mathis,2003,MET,M,22,22,2019,9,1,84,35,3,1/3,5,4,0.4,10.7
2237,DaMarcus Beasley,2003,CHI,D-M,22,20,1968,7,5,45,16,1,0/0,5,2,0.32,15.6
2238,Igor Simutenkov,2003,KC,M-F,21,19,1434,7,3,43,25,3,0/0,6,1,0.44,16.3
2239,Jason Kreis,2003,DAL,M,18,18,1543,7,2,42,21,1,1/2,6,1,0.41,16.7
2240,Mike Magee,2003,MET,F,29,19,1704,7,2,44,25,2,0/0,2,5,0.37,15.9
2241,Brian Mullan,2003,SJ,D,30,30,2723,6,9,38,19,1,0/0,5,1,0.2,15.8
2242,Marco Etcheverry,2003,DC,M,25,21,2005,6,7,27,13,1,5/5,4,2,0.27,22.2
2243,Brad Davis,2003,DAL,M,26,21,1908,6,5,41,16,0,2/2,4,2,0.28,14.6
2244,Brian Kamler,2003,NE,M,28,28,2322,6,5,37,18,2,0/0,3,3,0.23,16.2
2245,Chris Klein,2003,KC,M,27,27,2527,6,4,37,16,2,0/0,3,3,0.21,16.2
2246,Alejandro Moreno,2003,LA,F,24,10,1112,6,2,19,12,2,0/0,5,1,0.49,31.6
2247,Brian Ching,2003,SJ,F,15,14,1235,6,2,39,17,1,0/0,1,5,0.44,15.4
2248,Dema Kovalenko,2003,DC,M,26,26,2401,6,0,26,14,3,0/0,4,2,0.22,23.1
2249,Jeff Cunningham,2003,CLB,F,21,13,1401,5,7,49,23,2,1/1,3,2,0.32,10.2
2250,Hristo Stoitchkov,2003,DC,F,21,9,897,5,5,30,12,0,2/2,3,2,0.5,16.7
2251,Chris Brown,2003,NE,M-F,21,12,1324,5,2,35,18,2,0/0,4,1,0.34,14.3
2252,John Wolyniec,2003,MET,F,25,14,1383,5,2,39,20,2,0/0,2,3,0.33,12.8
2253,Zizi Roberts,2003,COL,F,12,8,728,5,0,27,16,0,0/0,1,4,0.62,18.5
2254,Jesse Marsch,2003,CHI,M,19,16,1465,5,0,20,10,1,1/1,3,2,0.31,25.0
2255,Joe-Max Moore,2003,NE,F,16,13,1186,4,7,42,19,0,0/0,3,1,0.3,9.5
2256,Ross Paule,2003,CLB,M,25,25,2212,4,7,27,15,1,0/0,2,2,0.16,14.8
2257,Ben Olsen,2003,DC,M,26,26,2239,4,7,31,13,4,0/0,2,2,0.16,12.9
2258,Steve Ralston,2003,NE,M,26,25,2347,4,7,29,15,1,1/1,4,0,0.15,13.8
2259,Chris Henderson,2003,COL,M,26,25,2180,4,6,47,17,1,1/1,1,3,0.17,8.5
2260,Brian West,2003,CLB,M-F,24,17,1541,4,4,20,10,2,0/0,3,1,0.23,20.0
2261,Dwayne De Rosario,2003,SJ,M,11,6,684,4,3,20,8,0,0/0,4,0,0.53,20.0
2262,Ronald Cerritos,2003,DC,F,25,19,1765,4,2,30,16,1,1/1,1,3,0.2,13.3
2263,Jimmy Conrad,2003,KC,D,30,30,2777,4,1,18,8,1,0/0,4,0,0.13,22.2
2264,Jamil Walker,2003,SJ,M-F,19,0,361,4,0,18,13,1,0/0,2,2,1.0,22.2
2265,Steve Jolley,2003,MET,D,24,23,2193,4,0,11,9,1,0/0,2,2,0.16,36.4
2266,Amado Guevara,2003,MET,M,25,25,2264,3,10,72,37,1,1/2,2,1,0.12,4.2
2267,Chris Carrieri,2003,COL,F,30,27,2457,3,8,54,27,1,0/0,3,0,0.11,5.6
2268,Eric Quill,2003,KC,F,27,25,2260,3,7,33,17,0,0/0,2,1,0.12,9.1
2269,Manny Lagos,2003,SJ,M,27,17,1543,3,5,33,12,1,0/0,1,2,0.17,9.1
2270,Chris Albright,2003,LA,D,27,23,1965,3,4,48,24,0,0/0,1,2,0.14,6.3
