,Score Difference,A1,GWG1,HmG1,PKG1,RdG1,SHTS1,SOG1,GSHTS1,SV1,GA1,A2,GWG2,HmG2,PKG2,RdG2,SHTS2,SOG2,GSHTS2,SV2,GA2
0,-2.0,0.15531428884376483,0.06483879354199576,0.13723136041312156,0.16326530612244897,0.07472067614185675,2.158612389905836,0.749428722258685,0.05238095238095238,0.036904761904761905,0.015476190476190475,0.2043693215671138,0.042292801530253554,0.14296975628262956,0.13215859030837004,0.08762027473241814,1.6482298545088854,0.6125505389060141,0.0371859296482412,0.02914572864321608,0.008040201005025126
1,1.0,0.14157631914844757,0.05433394702824558,0.1438326953929801,0.3918294849023091,0.11481483232631225,1.7574301873066152,0.6880378815262,0.047658862876254184,0.032190635451505016,0.015468227424749164,0.18927233205484567,0.07407190004954034,0.1770154874115709,0.16885553470919323,0.11400302112376724,1.8783509331105517,0.7480670710248035,0.04888888888888889,0.03333333333333333,0.016666666666666666
2,-2.0,0.15218496019852745,0.08641802512090731,0.10753634612382242,0.0,0.0918234305263127,2.2126826880155526,0.7476240990662807,0.041750841750841754,0.028619528619528618,0.011784511784511785,0.09793743628979097,0.05477699511819035,0.11552326609045886,0.20817843866171004,0.058022286561127,1.7403959225821104,0.6326667329433909,0.04511784511784512,0.03198653198653199,0.01212121212121212
3,-1.0,0.08201992371665313,0.0,0.09320883879689303,0.17955112219451372,0.06537514655883037,1.6267766020731325,0.4809602424443694,0.050168350168350175,0.03232323232323232,0.016498316498316498,0.22772816299686505,0.08470385038399611,0.1380069736236006,0.0855397148676171,0.13365620454427354,1.8734457983428707,0.7457363053225597,0.04869281045751635,0.032352941176470584,0.016339869281045753
4,1.0,0.180390408675165,0.10570926368602448,0.1819632307179508,0.13574660633484162,0.12996302576799562,1.901507244412149,0.7586055688801201,0.052255225522552254,0.0363036303630363,0.013751375137513752,0.13676864122047877,0.03316380555505569,0.07358925938280583,0.11087962962962963,0.03839696105313591,1.506900195540292,0.4829041466983105,0.0457516339869281,0.03137254901960784,0.013071895424836602
5,0.0,0.10886799430847038,0.04819246635731187,0.09192460544892628,0.16853932584269662,0.10051083122228974,2.4358880927577644,1.0092418297254477,0.044444444444444446,0.027777777777777776,0.014814814814814814,0.18172690181968937,0.017644148848458198,0.14199162097369483,0.35586734693877553,0.0899358216678186,2.1050201410506477,0.7537940829852169,0.05,0.03095238095238095,0.01825396825396825
6,-1.0,0.18538285244381522,0.04622814480110083,0.08489460584879159,0.0,0.10800488560328882,1.7724832797427261,0.6892038051182432,0.03597883597883598,0.020634920634920634,0.014285714285714287,0.17847966109315366,0.10008937509007738,0.18077624046851604,0.1714922048997773,0.11508665992524288,2.022904615270203,0.7442852970246272,0.048039215686274506,0.03366013071895425,0.013398692810457516
7,2.0,0.12843165971034629,0.061602578643475785,0.15531050962472956,0.1958955223880597,0.0809599302490975,2.0904606147301714,0.7070615322692456,0.02487562189054726,0.01990049751243781,0.004975124378109453,0.026223598149113892,0.012433192258513515,0.027335921790902877,0.0,0.017832904162859098,1.7301250230603615,0.5950330279201701,0.1,0.07777777777777778,0.022222222222222223
8,0.0,0.11270684415234494,0.04735860433314521,0.08502354998878724,0.16512059369202226,0.1160288438620817,2.5641257925615584,1.0405977153516506,0.044444444444444446,0.027777777777777776,0.014814814814814814,0.16793437411088258,0.018927650537786764,0.05469279624514459,0.3279569892473118,0.06281017369727047,1.9686492827334119,0.6735586422425728,0.06442227763923525,0.04405652535328346,0.020365752285951787
9,-5.0,0.06454411184649564,0.04534343995840898,0.10234372796604342,0.2,0.0615338300301841,1.694658919365123,0.5629224968414966,0.060275962236746555,0.03776325344952796,0.0196078431372549,0.2070432457306613,0.047674459994136296,0.06918355603309655,0.0,0.1093207573742444,1.5231524190713202,0.5082731101531026,0.03827160493827161,0.029629629629629627,0.008641975308641976
