,Score,A,GWG,HmG,PKG,RdG,SHTS,SOG,GSHTS,SV,GA
0,1.0,0.19627365676996175,0.04190609247882994,0.10798123399816084,0.1965065502183406,0.13421791604038363,2.32405786231219,0.8733324044880019,0.04338624338624338,0.027160493827160497,0.014109347442680775
1,1.0,0.23219607171913997,0.04038066236185758,0.13128143720235255,0.32727272727272727,0.120743594644898,1.7293779459541807,0.6614664362191649,0.04606060606060606,0.030707070707070707,0.01414141414141414
2,1.0,0.12041423008700577,0.0366231440881841,0.07259814022026947,0.17307692307692307,0.06446854875514604,1.4870780207984704,0.46209611399903255,0.0468013468013468,0.0303030303030303,0.015488215488215488
3,2.0,0.304745476602153,0.09333744087832575,0.16599729677079025,0.3977777777777778,0.19234424793159083,2.5313289790331654,1.0456710272454866,0.0524179912073047,0.03145079472438282,0.01927629354075076
4,2.0,0.14143862735791846,0.032071011227274154,0.09241691036401109,0.0,0.08841667033254075,2.0119425792195296,0.6739013903405296,0.03312368972746331,0.020545073375262055,0.011740041928721174
5,0.0,0.06644159830031598,0.016593736171886524,0.08868541989079018,0.0,0.10186969040928079,1.664723565997888,0.596351974200905,0.054214760405736265,0.037425673312346974,0.01713885974116824
6,1.0,0.1580955935926729,0.030296247164562164,0.15329958462743173,0.4222520107238606,0.09677307458523489,2.1158248814096208,0.753327651474804,0.04119985543910372,0.02855077701481749,0.012649078424286229
7,2.0,0.20252686740420497,0.06427770572911734,0.12173739432111583,0.07407407407407407,0.04047491249520176,1.9063340291911555,0.7360347039444779,0.03333333333333333,0.02516339869281046,0.008823529411764706
8,1.0,0.12387083133496095,0.01980067816376425,0.03075110132461088,0.07024793388429752,0.053549922404638434,1.8061663651759994,0.564812659476571,0.04909028492962582,0.029866117404737387,0.017851012701682115
9,2.0,0.2290320179472098,0.07513252066633723,0.1808161179704079,0.13953488372093023,0.09199311949982175,2.0714512821070223,0.785204495435957,0.048039215686274506,0.03366013071895425,0.013398692810457516
10,1.0,0.2720274940816424,0.04823101363601157,0.10417233361029639,0.19736842105263158,0.14416179111970281,2.218214035353345,0.8174933961938392,0.04157706093189964,0.029749103942652327,0.011827956989247311
