,Score,A,GWG,HmG,PKG,RdG,SHTS,SOG,GSHTS,SV,GA
0,2.0,0.10156593997386741,0.0451505016722408,0.08887464442687155,0.0,0.07779776038742527,1.8879292215807584,0.5364051106987365,0.052255225522552254,0.0363036303630363,0.013751375137513752
1,0.0,0.10719737099928253,0.01395632787483105,0.03646941558993592,0.16666666666666666,0.09480534709193246,1.611298270158763,0.5829861631496335,0.04563492063492063,0.03015873015873016,0.014682539682539682
2,0.0,0.1351279191599448,0.059092655025582926,0.14599178792501474,0.11428571428571428,0.11464099850323603,1.7179018375734065,0.6430660996313348,0.04375,0.03194444444444444,0.010763888888888889
3,2.0,0.259341324477343,0.09256863269491461,0.1860212746071119,0.14285714285714288,0.13956774793808008,2.258250439005092,0.9185342293810342,0.04173441734417344,0.03197831978319783,0.008130081300813007
4,1.0,0.06579277677883663,0.033617212012550426,0.13996908343680026,0.0,0.0311762122002312,1.544718047342208,0.5361130283913141,0.03312368972746331,0.020545073375262055,0.011740041928721174
5,2.0,0.10159450244085413,0.041497873112534486,0.16176993749252597,0.4,0.06691978197024723,2.4199486382471878,1.0894254924220412,0.05169920462762111,0.039045553145336226,0.01373825018076645
6,1.0,0.15455988881248245,0.020728199563940095,0.08343967329984338,0.4265402843601896,0.12914753252370093,1.8714829574309984,0.6879468673889061,0.05387205387205388,0.038047138047138045,0.014814814814814814
7,1.0,0.16963053001418613,0.03331141390384389,0.060014279021641116,0.0,0.09122385382512284,2.0994156685095873,0.6363637962903557,0.047619047619047616,0.03597883597883598,0.012698412698412698
8,1.0,0.2116780994549301,0.0904291824941688,0.15850915998014825,0.20821917808219179,0.11127101133647699,1.6198197545326434,0.7260737952178012,0.05,0.036274509803921565,0.013725490196078431
9,3.0,0.08491914947048917,0.04611128544004725,0.12508748385151477,0.0,0.03256663175046555,1.7109677031243309,0.6230535791541268,0.05,0.03095238095238095,0.01825396825396825
10,2.0,0.09124252526085168,0.047166644139731,0.05289289116251807,0.0,0.12587268203148064,2.3624746124369134,0.7452317365654935,0.032679738562091505,0.022222222222222223,0.00980392156862745
11,2.0,0.33756889334711426,0.0372384224726254,0.08507855092209426,0.23746701846965698,0.1550166698011777,1.8154559617558206,0.7404778421487914,0.04787000439174352,0.032059727711901624,0.014931927975406236
